c_function,category,this_api,uber_api,uber_status,semantics,allocation,migration
latLngToCell,indexing,LatLngToCell; LatLng.Cell,LatLngToCell; LatLng.Cell,available,LatLng fields are typed Angle here vs float64 degrees there; construct with LatLngDegs,none vs Go-side struct conversion per call,mechanical
cellToLatLng,indexing,Cell.LatLng,CellToLatLng; Cell.LatLng,available,read coordinates via .Lat.Deg()/.Lng.Deg() here vs raw float64 degrees there,none in either,mechanical
cellToBoundary,indexing,Cell.Boundary,CellToBoundary; Cell.Boundary,different-shape,CellBoundary is a fixed-size value with Len/At/Verts here vs a []LatLng slice there,0 allocs here vs 1 slice alloc there,adaptation
getResolution,inspection,Cell.Resolution; DirectedEdge.Resolution; Vertex.Resolution,Cell.Resolution; DirectedEdge.Resolution; Vertex.Resolution,available,identical (no error; works on any bits),none,mechanical
getBaseCellNumber,inspection,Cell.BaseCellNumber,BaseCellNumber; Cell.BaseCellNumber,available,identical,none,mechanical
getIndexDigit,inspection,Cell.IndexDigit; DirectedEdge.IndexDigit; Vertex.IndexDigit,Cell.IndexDigit; DirectedEdge.IndexDigit; Vertex.IndexDigit,available,methods exist on all three typed index modes in both,none,mechanical
stringToH3,inspection,ParseCell; ParseDirectedEdge; ParseVertex; Cell.UnmarshalText,CellFromString; DirectedEdgeFromString; VertexFromString; IndexFromString; Cell.UnmarshalText,different-shape,"parsing validates and returns errors here; the binding's *FromString swallow syntax errors and return index 0 (only UnmarshalText validates), so correct binding callers add IsValid",none in either,adaptation
h3ToString,inspection,Cell.String; DirectedEdge.String; Vertex.String; Cell.MarshalText,CellToString; IndexToString; Cell.String; Cell.MarshalText,available,same canonical lowercase-hex text in both,1 string alloc in either,mechanical
isValidCell,inspection,Cell.IsValid,Cell.IsValid,available,identical,none,mechanical
isValidIndex,inspection,IsValidIndex,IsValidIndex,available,generic any-mode structural validation in both; this library additionally accepts raw uint64 and legacy integer-literal calls,none,mechanical
isResClassIII,inspection,Cell.IsResClassIII,Cell.IsResClassIII,available,identical,none,mechanical
isPentagon,inspection,Cell.IsPentagon,Cell.IsPentagon,available,identical,none,mechanical
maxFaceCount,inspection,— (sizes IcosahedronFaces internally),— (sizes IcosahedronFaces internally),absorbed,not needed under Go slices,n/a,n/a
getIcosahedronFaces,inspection,Cell.IcosahedronFaces,Cell.IcosahedronFaces,available,identical ([]int; -1 slots pruned in both),1 slice alloc in either,mechanical
constructCell,inspection,ConstructCell,—,missing,no binding equivalent (H3 4.4.0 addition),none here,n/a
describeH3Error,misc,— (sentinel error messages),— (sentinel error messages),absorbed,"both map H3 error codes to package-level Err* values matched with errors.Is; messages carry the C text; note the binding's ErrRsolutionMismatch spelling vs ErrResolutionMismatch here",n/a,mechanical
degsToRads,misc,Deg; Angle.Rad,DegsToRads (constant),different-shape,typed Angle constructors here vs multiply-by-constant there,none,mechanical
radsToDegs,misc,Rad; Angle.Deg,RadsToDegs (constant),different-shape,typed Angle accessors here vs multiply-by-constant there,none,mechanical
getNumCells,misc,NumCells,NumCells,different-shape,(int64 with error) here vs plain int there (binding panics on out-of-range res),none,adaptation
res0CellCount,misc,NumRes0Cells,— (len of Res0Cells),absorbed,a compile-time constant here,n/a,mechanical
getRes0Cells,misc,Res0Cells,Res0Cells,available,cannot fail: no error return here vs ([]Cell. error) there,1 slice alloc in either,mechanical
pentagonCount,misc,NumPentagons,NumPentagons,available,constants in both,none,mechanical
getPentagons,misc,Pentagons,Pentagons,available,identical,1 slice alloc in either,mechanical
maxGridDiskSize,traversal,MaxGridDiskSize,— (internal sizing),absorbed,exposed here for Append* buffer pre-sizing,n/a,n/a
gridDisk,traversal,Cell.GridDisk; Cell.AppendGridDisk,GridDisk; Cell.GridDisk,available,unordered and null-pruned in both,convenience allocates in both; Append form is 0-alloc with a warm buffer here,mechanical
gridDiskUnsafe,traversal,Cell.GridDiskUnsafe; Cell.AppendGridDiskUnsafe,—,missing,single-origin unsafe (ring-ordered fast path; ErrPentagon on distortion) not exposed by the binding — its GridDisksUnsafe covers only the batch form,Append form is 0-alloc here,n/a
gridDiskDistances,traversal,Cell.GridDiskDistances; Cell.AppendGridDiskDistances; Cell.GridDiskDistancesGrouped,GridDiskDistances; Cell.GridDiskDistances,different-shape,"flat ([]Cell, []int32) remains primary here; GridDiskDistancesGrouped provides distance-indexed [][]Cell rings; binding keeps H3_NULL slots inside pentagon-affected rings while this library prunes them",flat form 2 allocs and Append 0-alloc; Grouped is 3 allocs for common k vs k+2 binding allocs,mechanical
gridDiskDistancesSafe,traversal,Cell.GridDiskDistancesSafe,GridDiskDistancesSafe; Cell.GridDiskDistancesSafe,different-shape,same shape difference as gridDiskDistances,allocating in both,adaptation
gridDiskDistancesUnsafe,traversal,Cell.GridDiskDistancesUnsafe,GridDiskDistancesUnsafe; Cell.GridDiskDistancesUnsafe,different-shape,same shape difference; ErrPentagon semantics identical,allocating in both,adaptation
gridDisksUnsafe,traversal,GridDisksUnsafe,GridDisksUnsafe,different-shape,one flat fixed-stride buffer (exact C layout; unpruned) here vs pruned per-origin [][]Cell there,1 alloc here vs origins+1 allocs there,adaptation
maxGridRingSize,traversal,MaxGridRingSize,— (internal sizing),absorbed,exposed here for Append* buffer pre-sizing,n/a,n/a
gridRing,traversal,Cell.GridRing; Cell.AppendGridRing,GridRing; Cell.GridRing,available,unordered and null-pruned in both,Append form 0-alloc here,mechanical
gridRingUnsafe,traversal,Cell.GridRingUnsafe; Cell.AppendGridRingUnsafe,GridRingUnsafe; Cell.GridRingUnsafe,available,identical (CCW ring order; ErrPentagon),Append form 0-alloc here,mechanical
gridDistance,traversal,Cell.GridDistance,GridDistance; Cell.GridDistance,available,identical,none,mechanical
gridPathCellsSize,traversal,Cell.GridPathLen,— (internal sizing),absorbed,exposed here for Append* buffer pre-sizing,n/a,n/a
gridPathCells,traversal,Cell.GridPath; Cell.AppendGridPath,GridPath; Cell.GridPath,available,identical (inclusive; same path),Append form 0-alloc here,mechanical
cellToLocalIj,traversal,CellToLocalIJ,CellToLocalIJ,available,CoordIJ fields are int32 here (C overflow parity) vs int there,none,mechanical
localIjToCell,traversal,LocalIJToCell,LocalIJToCell,available,same CoordIJ note,none,mechanical
cellToParent,hierarchy,Cell.Parent; Cell.ImmediateParent,Cell.Parent; Cell.ImmediateParent,available,ImmediateParent has identical boundary and error semantics in both,none,mechanical
